UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;C1=CC=C(C=C1)CS(=O)(=O)F;4784
Q14457;BCL2_HUMAN;[K+].[I-];4875
Q14457;BCL2_HUMAN;CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C;4927
Q14457;BCL2_HUMAN;[F-].[Na+];5235
Q14457;BCL2_HUMAN;C1=CC=C(C=C1)CCCC(=O)[O-].[Na+];5258
Q14457;BCL2_HUMAN;CCCCCCCCCCCCCCCCCC(=O)O;5281
Q14457;BCL2_HUMAN;CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5;5291
Q14457;BCL2_HUMAN;C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO;5311
Q14457;BCL2_HUMAN;CS(=O)CCCCN=C=S;5350
Q14457;BCL2_HUMAN;CN1C(=O)N2C=NC(=C2N=N1)C(=O)N;5394
Q14457;BCL2_HUMAN;C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O;5426
Q14457;BCL2_HUMAN;CN(C)C(=S)SSC(=S)N(C)C;5455
Q14457;BCL2_HUMAN;CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F;5566
Q14457;BCL2_HUMAN;C[N+]1=CC=CC(=C1)C(=O)[O-];5570
Q14457;BCL2_HUMAN;C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F;5601
Q14457;BCL2_HUMAN;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C;5743
Q14457;BCL2_HUMAN;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O;5757
Q14457;BCL2_HUMAN;CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C;5833
Q14457;BCL2_HUMAN;C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N;5885
Q14457;BCL2_HUMAN;CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.Cl;5909
Q14457;BCL2_HUMAN;CCN(CC)N=O;5921
Q14457;BCL2_HUMAN;C(Cl)(Cl)(Cl)Cl;5943
Q14457;BCL2_HUMAN;C[C@@]12[C@H]3CC[C@@H]([C@@]1(C(=O)OC2=O)C)O3;5944
Q14457;BCL2_HUMAN;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O;5991
Q14457;BCL2_HUMAN;CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C;6001
Q14457;BCL2_HUMAN;C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O;6036
Q14457;BCL2_HUMAN;CC(C)C[C@@H](C(=O)O)N;6106
Q14457;BCL2_HUMAN;CSCC[C@@H](C(=O)O)N;6137
Q14457;BCL2_HUMAN;C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C;6197
Q14457;BCL2_HUMAN;C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O;6207
Q14457;BCL2_HUMAN;C(C(=O)[O-])Br;6226
