protein,com_id,com_pubchem_id,prob
KLOT,COM00003488,637517,0.15
SIR3,COM00004927,1054,0.15
SIR4,COM00003201,10235,0.15
SIR3,COM00003265,119205,0.15
KLOT,COM00002226,612,0.15
KLOT,COM00001192,6305,0.15
CDN2A,COM00000205,2519,0.15
CDN2A,COM00002001,3182,0.15
SIR3,COM00004835,743,0.14
SIR5,COM00004325,5326566,0.14
IGF1,COM00004622,6106,0.14
CDN2A,COM00000993,5951,0.14
SIR4,COM00001306,385,0.14
SIR4,COM00004623,493570,0.14
SIR2,COM00004258,439260,0.14
CDN2A,COM00002956,46936492,0.14
SIR3,COM00000098,757,0.14
SIR3,COM00004345,16666,0.14
KLOT,COM00001111,453551,0.14
CDN2A,COM00005101,31401,0.14
SIR4,COM00000675,1130,0.14
CDN2A,COM00005890,647,0.14
SIR3,COM00000993,5951,0.14
SIR3,COM00004730,342,0.14
SIR4,COM00004376,2353,0.14
SIR3,COM00001180,2879,0.14
CDN2A,COM00005361,10133,0.14
CDN2A,COM00002046,221493,0.14
CDN2A,COM00000140,1123,0.14
SIR2,COM00003206,6047,0.14
SIR5,COM00002939,199,0.14
IGF1,COM00004411,6140,0.14
CDN2A,COM00005439,79034,0.14
SIR5,COM00006608,1174,0.14
SIR2,COM00002929,14985,0.13
SIR3,COM00001076,6021,0.13
SIR3,COM00004622,6106,0.13
SIR2,COM00002178,145742,0.13
SIR2,COM00004411,6140,0.13
SIR5,COM00001195,9750,0.13
SIR5,COM00005439,79034,0.13
SIR5,COM00000117,3631,0.13
SIR2,COM00006123,1176,0.13
KLOT,COM00004835,743,0.13
KLOT,COM00001076,6021,0.13
CDN2A,COM00005017,11047943,0.13
IGF1,COM00004922,5950,0.13
CDN2A,COM00002929,14985,0.13
KLOT,COM00004345,16666,0.13
KLOT,COM00004923,6287,0.13
KLOT,COM00004730,342,0.13
KLOT,COM00006167,9996708,0.13
IGF1,COM00004262,1549107,0.13
CDN2A,COM00002178,145742,0.13
KLOT,COM00001038,6581,0.13
SIR5,COM00003201,10235,0.13
KLOT,COM00005979,938,0.13
SIR4,COM00004713,7054,0.13
CDN2A,COM00004237,239,0.13
SIR2,COM00000993,5951,0.12
SIR5,COM00002929,14985,0.12
SIR4,COM00005500,444863,0.12
CDN2A,COM00001191,5862,0.12
